,,,GWP_supply
Electricity,9,18,0.16316399999999998
Electricity,9,19,0.19069999999999998
Electricity,9,20,0.185395
Electricity,9,21,0.18518700000000002
Electricity,9,22,0.17954499999999998
Electricity,9,23,0.171008
Electricity,9,24,0.16283
Electricity,10,1,0.18328999999999998
Electricity,10,2,0.158023
Electricity,10,3,0.131114
Electricity,10,4,0.117779
Electricity,10,5,0.114526
Electricity,10,6,0.157878
Electricity,10,7,0.239648
Electricity,10,8,0.282589
Electricity,10,9,0.297414
Electricity,10,10,0.291179
Electricity,10,11,0.28232799999999997
Electricity,10,12,0.28212200000000004
Electricity,10,13,0.26842
Electricity,10,14,0.221963
Electricity,10,15,0.239817
Electricity,10,16,0.21831899999999999
Electricity,10,17,0.23746400000000004
Electricity,10,18,0.246864
Electricity,10,19,0.25575
Electricity,10,20,0.29285
Electricity,10,21,0.24057699999999999
Electricity,10,22,0.23856
Electricity,10,23,0.230755
Electricity,10,24,0.164972
Electricity,11,1,0.30274
Electricity,12,1,0.07613400000000001
