,,,GWP_supply
Electricity,10,13,0.825
Electricity,10,14,0.737
Electricity,10,15,0.7509999999999999
Electricity,10,16,0.7040000000000001
Electricity,10,17,0.732
Electricity,10,18,0.741
Electricity,10,19,0.765
Electricity,10,20,0.7979999999999999
Electricity,10,21,0.713
Electricity,10,22,0.6890000000000001
Electricity,10,23,0.7140000000000001
Electricity,10,24,0.583
Electricity,11,1,0.2789999999999999
Electricity,12,1,0.614
